Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
venir,приходить,"<span class=""pronoun"">je</span> {{c1::viens}}<br><span class=""pronoun"">tu</span> {{c1::viens}}<br><span class=""pronoun"">il/elle</span> {{c1::vient}}","<span class=""pronoun"">nous</span> {{c2::venons}}<br><span class=""pronoun"">vous</span> {{c2::venez}}<br><span class=""pronoun"">ils/elles</span> {{c2::viennent}}",-enir,"Passé récent: je viens de + inf. Composés: devenir, revenir."
prendre,брать,"<span class=""pronoun"">je</span> {{c1::prends}}<br><span class=""pronoun"">tu</span> {{c1::prends}}<br><span class=""pronoun"">il/elle</span> {{c1::prend}}","<span class=""pronoun"">nous</span> {{c2::prenons}}<br><span class=""pronoun"">vous</span> {{c2::prenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::prennent}}",-endre,"Composés: comprendre, apprendre. Prendre le bus."
suivre,следовать,"<span class=""pronoun"">je</span> {{c1::suis}}<br><span class=""pronoun"">tu</span> {{c1::suis}}<br><span class=""pronoun"">il/elle</span> {{c1::suit}}","<span class=""pronoun"">nous</span> {{c2::suivons}}<br><span class=""pronoun"">vous</span> {{c2::suivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::suivent}}",-ivre,Attention: je suis (suivre) = je suis (être)!
parler,говорить,"<span class=""pronoun"">je</span> {{c1::parle}}<br><span class=""pronoun"">tu</span> {{c1::parles}}<br><span class=""pronoun"">il/elle</span> {{c1::parle}}","<span class=""pronoun"">nous</span> {{c2::parlons}}<br><span class=""pronoun"">vous</span> {{c2::parlez}}<br><span class=""pronoun"">ils/elles</span> {{c2::parlent}}",1er groupe -er,Modèle pour tous les verbes en -er réguliers.
falloir,надо (безличн.),"<span class=""pronoun"">il</span> {{c1::faut}}",—,impersonnel,Seulement il faut. Il faut partir.
croire,верить,"<span class=""pronoun"">je</span> {{c1::crois}}<br><span class=""pronoun"">tu</span> {{c1::crois}}<br><span class=""pronoun"">il/elle</span> {{c1::croit}}","<span class=""pronoun"">nous</span> {{c2::croyons}}<br><span class=""pronoun"">vous</span> {{c2::croyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::croient}}",-oire,Je crois que oui.
attendre,ждать,"<span class=""pronoun"">j'</span>{{c1::attends}}<br><span class=""pronoun"">tu</span> {{c1::attends}}<br><span class=""pronoun"">il/elle</span> {{c1::attend}}","<span class=""pronoun"">nous</span> {{c2::attendons}}<br><span class=""pronoun"">vous</span> {{c2::attendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::attendent}}",-endre régulier,"Modèle: entendre, vendre, rendre, perdre."
mettre,класть,"<span class=""pronoun"">je</span> {{c1::mets}}<br><span class=""pronoun"">tu</span> {{c1::mets}}<br><span class=""pronoun"">il/elle</span> {{c1::met}}","<span class=""pronoun"">nous</span> {{c2::mettons}}<br><span class=""pronoun"">vous</span> {{c2::mettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::mettent}}",-ettre,"Composés: permettre, promettre, admettre."
partir,уезжать,"<span class=""pronoun"">je</span> {{c1::pars}}<br><span class=""pronoun"">tu</span> {{c1::pars}}<br><span class=""pronoun"">il/elle</span> {{c1::part}}","<span class=""pronoun"">nous</span> {{c2::partons}}<br><span class=""pronoun"">vous</span> {{c2::partez}}<br><span class=""pronoun"">ils/elles</span> {{c2::partent}}",-tir,"Modèle: sortir, sentir, mentir, dormir."
connaître,"знать (кого-л., что-л.)","<span class=""pronoun"">je</span> {{c1::connais}}<br><span class=""pronoun"">tu</span> {{c1::connais}}<br><span class=""pronoun"">il/elle</span> {{c1::connaît}}","<span class=""pronoun"">nous</span> {{c2::connaissons}}<br><span class=""pronoun"">vous</span> {{c2::connaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::connaissent}}",-aître,Accent sur î devant t. Savoir vs connaître!
comprendre,понимать,"<span class=""pronoun"">je</span> {{c1::comprends}}<br><span class=""pronoun"">tu</span> {{c1::comprends}}<br><span class=""pronoun"">il/elle</span> {{c1::comprend}}","<span class=""pronoun"">nous</span> {{c2::comprenons}}<br><span class=""pronoun"">vous</span> {{c2::comprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::comprennent}}",-endre,Comme prendre. Je comprends le français.
sortir,выходить,"<span class=""pronoun"">je</span> {{c1::sors}}<br><span class=""pronoun"">tu</span> {{c1::sors}}<br><span class=""pronoun"">il/elle</span> {{c1::sort}}","<span class=""pronoun"">nous</span> {{c2::sortons}}<br><span class=""pronoun"">vous</span> {{c2::sortez}}<br><span class=""pronoun"">ils/elles</span> {{c2::sortent}}",-tir,Comme partir. Je sors ce soir.
entendre,слышать,"<span class=""pronoun"">j'</span>{{c1::entends}}<br><span class=""pronoun"">tu</span> {{c1::entends}}<br><span class=""pronoun"">il/elle</span> {{c1::entend}}","<span class=""pronoun"">nous</span> {{c2::entendons}}<br><span class=""pronoun"">vous</span> {{c2::entendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::entendent}}",-endre régulier,Comme attendre. J'entends de la musique.
mourir,умирать,"<span class=""pronoun"">je</span> {{c1::meurs}}<br><span class=""pronoun"">tu</span> {{c1::meurs}}<br><span class=""pronoun"">il/elle</span> {{c1::meurt}}","<span class=""pronoun"">nous</span> {{c2::mourons}}<br><span class=""pronoun"">vous</span> {{c2::mourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::meurent}}",-ourir,"2 radicaux: meur- (sing/3pl), mour- (nous/vous). Je meurs de faim!"
sentir,чувствовать,"<span class=""pronoun"">je</span> {{c1::sens}}<br><span class=""pronoun"">tu</span> {{c1::sens}}<br><span class=""pronoun"">il/elle</span> {{c1::sent}}","<span class=""pronoun"">nous</span> {{c2::sentons}}<br><span class=""pronoun"">vous</span> {{c2::sentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::sentent}}",-tir,Comme partir. Je me sens bien.
tenir,держать,"<span class=""pronoun"">je</span> {{c1::tiens}}<br><span class=""pronoun"">tu</span> {{c1::tiens}}<br><span class=""pronoun"">il/elle</span> {{c1::tient}}","<span class=""pronoun"">nous</span> {{c2::tenons}}<br><span class=""pronoun"">vous</span> {{c2::tenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::tiennent}}",-enir,"Comme venir. Composés: obtenir, retenir, maintenir."
revenir,возвращаться,"<span class=""pronoun"">je</span> {{c1::reviens}}<br><span class=""pronoun"">tu</span> {{c1::reviens}}<br><span class=""pronoun"">il/elle</span> {{c1::revient}}","<span class=""pronoun"">nous</span> {{c2::revenons}}<br><span class=""pronoun"">vous</span> {{c2::revenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reviennent}}",-enir,Comme venir. Je reviens dans 5 minutes.
finir,заканчивать,"<span class=""pronoun"">je</span> {{c1::finis}}<br><span class=""pronoun"">tu</span> {{c1::finis}}<br><span class=""pronoun"">il/elle</span> {{c1::finit}}","<span class=""pronoun"">nous</span> {{c2::finissons}}<br><span class=""pronoun"">vous</span> {{c2::finissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::finissent}}",2e groupe -ir/-iss-,"Modèle 2e groupe: choisir, réussir, réfléchir."
rendre,возвращать,"<span class=""pronoun"">je</span> {{c1::rends}}<br><span class=""pronoun"">tu</span> {{c1::rends}}<br><span class=""pronoun"">il/elle</span> {{c1::rend}}","<span class=""pronoun"">nous</span> {{c2::rendons}}<br><span class=""pronoun"">vous</span> {{c2::rendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rendent}}",-endre régulier,Rendre visite à qqn. Se rendre compte.
vivre,жить,"<span class=""pronoun"">je</span> {{c1::vis}}<br><span class=""pronoun"">tu</span> {{c1::vis}}<br><span class=""pronoun"">il/elle</span> {{c1::vit}}","<span class=""pronoun"">nous</span> {{c2::vivons}}<br><span class=""pronoun"">vous</span> {{c2::vivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::vivent}}",-ivre,Comme suivre. Je vis à Montréal.
perdre,терять,"<span class=""pronoun"">je</span> {{c1::perds}}<br><span class=""pronoun"">tu</span> {{c1::perds}}<br><span class=""pronoun"">il/elle</span> {{c1::perd}}","<span class=""pronoun"">nous</span> {{c2::perdons}}<br><span class=""pronoun"">vous</span> {{c2::perdez}}<br><span class=""pronoun"">ils/elles</span> {{c2::perdent}}",-endre régulier,Perdre son temps. Se perdre.
devenir,становиться,"<span class=""pronoun"">je</span> {{c1::deviens}}<br><span class=""pronoun"">tu</span> {{c1::deviens}}<br><span class=""pronoun"">il/elle</span> {{c1::devient}}","<span class=""pronoun"">nous</span> {{c2::devenons}}<br><span class=""pronoun"">vous</span> {{c2::devenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::deviennent}}",-enir,Comme venir. Ça devient intéressant.
ouvrir,открывать,"<span class=""pronoun"">j'</span>{{c1::ouvre}}<br><span class=""pronoun"">tu</span> {{c1::ouvres}}<br><span class=""pronoun"">il/elle</span> {{c1::ouvre}}","<span class=""pronoun"">nous</span> {{c2::ouvrons}}<br><span class=""pronoun"">vous</span> {{c2::ouvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ouvrent}}",-vrir (comme -er),"Comme -er! Composés: couvrir, découvrir, offrir, souffrir."
commencer,начинать,"<span class=""pronoun"">je</span> {{c1::commence}}<br><span class=""pronoun"">tu</span> {{c1::commences}}<br><span class=""pronoun"">il/elle</span> {{c1::commence}}","<span class=""pronoun"">nous</span> {{c2::commençons}}<br><span class=""pronoun"">vous</span> {{c2::commencez}}<br><span class=""pronoun"">ils/elles</span> {{c2::commencent}}",-cer (ç devant a/o),Cédille devant a/o: nous commençons.
plaire,нравиться,"<span class=""pronoun"">je</span> {{c1::plais}}<br><span class=""pronoun"">tu</span> {{c1::plais}}<br><span class=""pronoun"">il/elle</span> {{c1::plaît}}","<span class=""pronoun"">nous</span> {{c2::plaisons}}<br><span class=""pronoun"">vous</span> {{c2::plaisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::plaisent}}",-aire,Accent sur î: il plaît. S'il vous plaît!
manger,есть,"<span class=""pronoun"">je</span> {{c1::mange}}<br><span class=""pronoun"">tu</span> {{c1::manges}}<br><span class=""pronoun"">il/elle</span> {{c1::mange}}","<span class=""pronoun"">nous</span> {{c2::mangeons}}<br><span class=""pronoun"">vous</span> {{c2::mangez}}<br><span class=""pronoun"">ils/elles</span> {{c2::mangent}}",-ger (ge devant a/o),e devant a/o: nous mangeons.
asseoir,сажать,"<span class=""pronoun"">je</span> {{c1::m'assieds}}<br><span class=""pronoun"">tu</span> {{c1::t'assieds}}<br><span class=""pronoun"">il/elle</span> {{c1::s'assied}}","<span class=""pronoun"">nous</span> {{c2::nous asseyons}}<br><span class=""pronoun"">vous</span> {{c2::vous asseyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'asseyent}}",très irrégulier,"Alternative: je m'assois, nous nous assoyons. Asseyez-vous!"
dormir,спать,"<span class=""pronoun"">je</span> {{c1::dors}}<br><span class=""pronoun"">tu</span> {{c1::dors}}<br><span class=""pronoun"">il/elle</span> {{c1::dort}}","<span class=""pronoun"">nous</span> {{c2::dormons}}<br><span class=""pronoun"">vous</span> {{c2::dormez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dorment}}",-mir,Comme partir. Je dors bien.
répondre,отвечать,"<span class=""pronoun"">je</span> {{c1::réponds}}<br><span class=""pronoun"">tu</span> {{c1::réponds}}<br><span class=""pronoun"">il/elle</span> {{c1::répond}}","<span class=""pronoun"">nous</span> {{c2::répondons}}<br><span class=""pronoun"">vous</span> {{c2::répondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::répondent}}",-ondre,Répondre à une question.
apprendre,учить,"<span class=""pronoun"">j'</span>{{c1::apprends}}<br><span class=""pronoun"">tu</span> {{c1::apprends}}<br><span class=""pronoun"">il/elle</span> {{c1::apprend}}","<span class=""pronoun"">nous</span> {{c2::apprenons}}<br><span class=""pronoun"">vous</span> {{c2::apprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::apprennent}}",-endre,Comme prendre. J'apprends le français.
écrire,писать,"<span class=""pronoun"">j'</span>{{c1::écris}}<br><span class=""pronoun"">tu</span> {{c1::écris}}<br><span class=""pronoun"">il/elle</span> {{c1::écrit}}","<span class=""pronoun"">nous</span> {{c2::écrivons}}<br><span class=""pronoun"">vous</span> {{c2::écrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::écrivent}}",-ire,"Composés: décrire, inscrire."
boire,пить,"<span class=""pronoun"">je</span> {{c1::bois}}<br><span class=""pronoun"">tu</span> {{c1::bois}}<br><span class=""pronoun"">il/elle</span> {{c1::boit}}","<span class=""pronoun"">nous</span> {{c2::buvons}}<br><span class=""pronoun"">vous</span> {{c2::buvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::boivent}}",-oire irrégulier,"2 radicaux: boi- (sing), buv- (nous/vous), boiv- (3pl)."
foutre,класть (разг.),"<span class=""pronoun"">je</span> {{c1::fous}}<br><span class=""pronoun"">tu</span> {{c1::fous}}<br><span class=""pronoun"">il/elle</span> {{c1::fout}}","<span class=""pronoun"">nous</span> {{c2::foutons}}<br><span class=""pronoun"">vous</span> {{c2::foutez}}<br><span class=""pronoun"">ils/elles</span> {{c2::foutent}}",-outre,Familier/vulgaire! S'en foutre = s'en moquer.
servir,служить,"<span class=""pronoun"">je</span> {{c1::sers}}<br><span class=""pronoun"">tu</span> {{c1::sers}}<br><span class=""pronoun"">il/elle</span> {{c1::sert}}","<span class=""pronoun"">nous</span> {{c2::servons}}<br><span class=""pronoun"">vous</span> {{c2::servez}}<br><span class=""pronoun"">ils/elles</span> {{c2::servent}}",-vir,Comme partir. Ça sert à quoi?
lire,читать,"<span class=""pronoun"">je</span> {{c1::lis}}<br><span class=""pronoun"">tu</span> {{c1::lis}}<br><span class=""pronoun"">il/elle</span> {{c1::lit}}","<span class=""pronoun"">nous</span> {{c2::lisons}}<br><span class=""pronoun"">vous</span> {{c2::lisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::lisent}}",-ire,"Composés: relire, élire."
souvenir,помнить,"<span class=""pronoun"">je</span> {{c1::me souviens}}<br><span class=""pronoun"">tu</span> {{c1::te souviens}}<br><span class=""pronoun"">il/elle</span> {{c1::se souvient}}","<span class=""pronoun"">nous</span> {{c2::nous souvenons}}<br><span class=""pronoun"">vous</span> {{c2::vous souvenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se souviennent}}",-enir,Comme venir. Toujours réfléchi: se souvenir de.
descendre,спускаться,"<span class=""pronoun"">je</span> {{c1::descends}}<br><span class=""pronoun"">tu</span> {{c1::descends}}<br><span class=""pronoun"">il/elle</span> {{c1::descend}}","<span class=""pronoun"">nous</span> {{c2::descendons}}<br><span class=""pronoun"">vous</span> {{c2::descendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::descendent}}",-endre régulier,Être ou avoir selon le sens. Je descends l'escalier.
paraître,казаться,"<span class=""pronoun"">je</span> {{c1::parais}}<br><span class=""pronoun"">tu</span> {{c1::parais}}<br><span class=""pronoun"">il/elle</span> {{c1::paraît}}","<span class=""pronoun"">nous</span> {{c2::paraissons}}<br><span class=""pronoun"">vous</span> {{c2::paraissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::paraissent}}",-aître,Comme connaître. Il paraît que...
rire,смеяться,"<span class=""pronoun"">je</span> {{c1::ris}}<br><span class=""pronoun"">tu</span> {{c1::ris}}<br><span class=""pronoun"">il/elle</span> {{c1::rit}}","<span class=""pronoun"">nous</span> {{c2::rions}}<br><span class=""pronoun"">vous</span> {{c2::riez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rient}}",-ire,Attention: nous rions (pas *rissons). Sourire aussi.
reprendre,возобновлять,"<span class=""pronoun"">je</span> {{c1::reprends}}<br><span class=""pronoun"">tu</span> {{c1::reprends}}<br><span class=""pronoun"">il/elle</span> {{c1::reprend}}","<span class=""pronoun"">nous</span> {{c2::reprenons}}<br><span class=""pronoun"">vous</span> {{c2::reprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reprennent}}",-endre,Comme prendre. Reprendre le travail.
valoir,стоить,"<span class=""pronoun"">je</span> {{c1::vaux}}<br><span class=""pronoun"">tu</span> {{c1::vaux}}<br><span class=""pronoun"">il/elle</span> {{c1::vaut}}","<span class=""pronoun"">nous</span> {{c2::valons}}<br><span class=""pronoun"">vous</span> {{c2::valez}}<br><span class=""pronoun"">ils/elles</span> {{c2::valent}}",-aloir,Ça vaut le coup. Il vaut mieux partir.
recevoir,получать,"<span class=""pronoun"">je</span> {{c1::reçois}}<br><span class=""pronoun"">tu</span> {{c1::reçois}}<br><span class=""pronoun"">il/elle</span> {{c1::reçoit}}","<span class=""pronoun"">nous</span> {{c2::recevons}}<br><span class=""pronoun"">vous</span> {{c2::recevez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reçoivent}}",-cevoir,"Cédille: reçoi-. Composés: apercevoir, concevoir, décevoir."
suffire,хватать,"<span class=""pronoun"">je</span> {{c1::suffis}}<br><span class=""pronoun"">tu</span> {{c1::suffis}}<br><span class=""pronoun"">il/elle</span> {{c1::suffit}}","<span class=""pronoun"">nous</span> {{c2::suffisons}}<br><span class=""pronoun"">vous</span> {{c2::suffisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::suffisent}}",-ire,Il suffit de + inf. Ça suffit!
courir,бежать,"<span class=""pronoun"">je</span> {{c1::cours}}<br><span class=""pronoun"">tu</span> {{c1::cours}}<br><span class=""pronoun"">il/elle</span> {{c1::court}}","<span class=""pronoun"">nous</span> {{c2::courons}}<br><span class=""pronoun"">vous</span> {{c2::courez}}<br><span class=""pronoun"">ils/elles</span> {{c2::courent}}",-ourir,"Composés: parcourir, accourir, secourir."
battre,бить,"<span class=""pronoun"">je</span> {{c1::bats}}<br><span class=""pronoun"">tu</span> {{c1::bats}}<br><span class=""pronoun"">il/elle</span> {{c1::bat}}","<span class=""pronoun"">nous</span> {{c2::battons}}<br><span class=""pronoun"">vous</span> {{c2::battez}}<br><span class=""pronoun"">ils/elles</span> {{c2::battent}}",-attre,Se battre. Mon cœur bat.
offrir,дарить,"<span class=""pronoun"">j'</span>{{c1::offre}}<br><span class=""pronoun"">tu</span> {{c1::offres}}<br><span class=""pronoun"">il/elle</span> {{c1::offre}}","<span class=""pronoun"">nous</span> {{c2::offrons}}<br><span class=""pronoun"">vous</span> {{c2::offrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::offrent}}",-frir (comme -er),Comme ouvrir. Offrir un cadeau.
permettre,позволять,"<span class=""pronoun"">je</span> {{c1::permets}}<br><span class=""pronoun"">tu</span> {{c1::permets}}<br><span class=""pronoun"">il/elle</span> {{c1::permet}}","<span class=""pronoun"">nous</span> {{c2::permettons}}<br><span class=""pronoun"">vous</span> {{c2::permettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::permettent}}",-ettre,Comme mettre. Permettez-moi de...
reconnaître,узнавать,"<span class=""pronoun"">je</span> {{c1::reconnais}}<br><span class=""pronoun"">tu</span> {{c1::reconnais}}<br><span class=""pronoun"">il/elle</span> {{c1::reconnaît}}","<span class=""pronoun"">nous</span> {{c2::reconnaissons}}<br><span class=""pronoun"">vous</span> {{c2::reconnaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reconnaissent}}",-aître,Comme connaître. Je te reconnais!
disparaître,исчезать,"<span class=""pronoun"">je</span> {{c1::disparais}}<br><span class=""pronoun"">tu</span> {{c1::disparais}}<br><span class=""pronoun"">il/elle</span> {{c1::disparaît}}","<span class=""pronoun"">nous</span> {{c2::disparaissons}}<br><span class=""pronoun"">vous</span> {{c2::disparaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::disparaissent}}",-aître,Comme connaître. Il a disparu.
remettre,возвращать,"<span class=""pronoun"">je</span> {{c1::remets}}<br><span class=""pronoun"">tu</span> {{c1::remets}}<br><span class=""pronoun"">il/elle</span> {{c1::remet}}","<span class=""pronoun"">nous</span> {{c2::remettons}}<br><span class=""pronoun"">vous</span> {{c2::remettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::remettent}}",-ettre,Comme mettre. Se remettre de.
vendre,продавать,"<span class=""pronoun"">je</span> {{c1::vends}}<br><span class=""pronoun"">tu</span> {{c1::vends}}<br><span class=""pronoun"">il/elle</span> {{c1::vend}}","<span class=""pronoun"">nous</span> {{c2::vendons}}<br><span class=""pronoun"">vous</span> {{c2::vendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::vendent}}",-endre régulier,Comme attendre.
conduire,водить,"<span class=""pronoun"">je</span> {{c1::conduis}}<br><span class=""pronoun"">tu</span> {{c1::conduis}}<br><span class=""pronoun"">il/elle</span> {{c1::conduit}}","<span class=""pronoun"">nous</span> {{c2::conduisons}}<br><span class=""pronoun"">vous</span> {{c2::conduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::conduisent}}",-uire,"Modèle: produire, construire, détruire, traduire."
choisir,выбирать,"<span class=""pronoun"">je</span> {{c1::choisis}}<br><span class=""pronoun"">tu</span> {{c1::choisis}}<br><span class=""pronoun"">il/elle</span> {{c1::choisit}}","<span class=""pronoun"">nous</span> {{c2::choisissons}}<br><span class=""pronoun"">vous</span> {{c2::choisissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::choisissent}}",2e groupe -ir/-iss-,Comme finir.
découvrir,обнаруживать,"<span class=""pronoun"">je</span> {{c1::découvre}}<br><span class=""pronoun"">tu</span> {{c1::découvres}}<br><span class=""pronoun"">il/elle</span> {{c1::découvre}}","<span class=""pronoun"">nous</span> {{c2::découvrons}}<br><span class=""pronoun"">vous</span> {{c2::découvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::découvrent}}",-vrir (comme -er),Comme ouvrir.
revoir,видеть снова,"<span class=""pronoun"">je</span> {{c1::revois}}<br><span class=""pronoun"">tu</span> {{c1::revois}}<br><span class=""pronoun"">il/elle</span> {{c1::revoit}}","<span class=""pronoun"">nous</span> {{c2::revoyons}}<br><span class=""pronoun"">vous</span> {{c2::revoyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::revoient}}",-oir,Comme voir. Au revoir!
promettre,обещать,"<span class=""pronoun"">je</span> {{c1::promets}}<br><span class=""pronoun"">tu</span> {{c1::promets}}<br><span class=""pronoun"">il/elle</span> {{c1::promet}}","<span class=""pronoun"">nous</span> {{c2::promettons}}<br><span class=""pronoun"">vous</span> {{c2::promettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::promettent}}",-ettre,Comme mettre. Je te promets!
taire,молчать,"<span class=""pronoun"">je</span> {{c1::me tais}}<br><span class=""pronoun"">tu</span> {{c1::te tais}}<br><span class=""pronoun"">il/elle</span> {{c1::se tait}}","<span class=""pronoun"">nous</span> {{c2::nous taisons}}<br><span class=""pronoun"">vous</span> {{c2::vous taisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se taisent}}",-aire,Souvent réfléchi: se taire. Tais-toi!
sourire,улыбаться,"<span class=""pronoun"">je</span> {{c1::souris}}<br><span class=""pronoun"">tu</span> {{c1::souris}}<br><span class=""pronoun"">il/elle</span> {{c1::sourit}}","<span class=""pronoun"">nous</span> {{c2::sourions}}<br><span class=""pronoun"">vous</span> {{c2::souriez}}<br><span class=""pronoun"">ils/elles</span> {{c2::sourient}}",-ire,Comme rire. Elle me sourit.
