French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
coller,клеить; прилипать,<b>Colle</b> le timbre sur l'enveloppe.,<b>Наклей</b> марку на конверт.,📮,v
une campagne,деревня; кампания,J'aime la vie à la <b>campagne</b>.,Я люблю жизнь в <b>деревне</b>.,🌳,f
une feuille,лист (дерева; бумаги),Les <b>feuilles</b> tombent en automne.,<b>Листья</b> падают осенью.,🍂,f
régler,регулировать; решать; платить,J'ai <b>réglé</b> l'addition.,Я <b>оплатил</b> счёт.,💳,v
créer,создавать,On va <b>créer</b> une nouvelle entreprise.,Мы <b>создадим</b> новую компанию.,✨,v
un vêtement,одежда,J'ai besoin de nouveaux <b>vêtements</b>.,Мне нужна новая <b>одежда</b>.,👔,m
élever,поднимать; воспитывать,Elle a <b>élevé</b> trois enfants seule.,Она <b>воспитала</b> троих детей одна.,👶,v
un tas,куча,J'ai un <b>tas</b> de choses à faire.,У меня <b>куча</b> дел.,📚,m
surveiller,следить; наблюдать,"<b>Surveille</b> les enfants, s'il te plaît.","<b>Присмотри</b> за детьми, пожалуйста.",👀,v
un sommeil,сон,J'ai besoin de <b>sommeil</b>.,Мне нужен <b>сон</b>.,😴,m
un cou,шея,J'ai mal au <b>cou</b>.,У меня болит <b>шея</b>.,🦒,m
"frais, fraîche","свежий, -ая; прохладный, -ая",Il fait <b>frais</b> ce matin.,Сегодня утром <b>прохладно</b>.,❄️,adj
pencher,наклонять,<b>Penche</b>-toi un peu.,<b>Наклонись</b> немного.,↘️,v
placer,ставить; размещать,J'ai <b>placé</b> les livres sur l'étagère.,Я <b>поставил</b> книги на полку.,📚,v
juger,судить,Ne me <b>juge</b> pas.,Не <b>суди</b> меня.,⚖️,v
une mesure,мера; размер,Quelle est la <b>mesure</b> de ce meuble ?,Каков <b>размер</b> этой мебели?,📏,f
laver,мыть,Je dois <b>laver</b> la vaisselle.,Мне нужно <b>помыть</b> посуду.,🧼,v
un a,буква А,Le mot commence par un <b>a</b>.,Слово начинается с буквы <b>а</b>.,🔤,m
prêter,одалживать,Peux-tu me <b>prêter</b> ton stylo ?,Можешь <b>одолжить</b> мне ручку?,✏️,v
observer,наблюдать,J'aime <b>observer</b> les étoiles.,Я люблю <b>наблюдать</b> за звёздами.,🔭,v
inutile,бесполезный,C'est <b>inutile</b> d'insister.,<b>Бесполезно</b> настаивать.,🚫,adj
crever,лопаться; дохнуть (разг.),Le pneu a <b>crevé</b>.,Шина <b>лопнула</b>.,💥,v
dîner,ужинать,On <b>dîne</b> à quelle heure ?,Во сколько мы <b>ужинаем</b>?,🍽️,v
une conversation,разговор,Nous avons eu une longue <b>conversation</b>.,У нас был долгий <b>разговор</b>.,💬,f
une chaise,стул,<b>Assieds</b>-toi sur cette <b>chaise</b>.,<b>Садись</b> на этот <b>стул</b>.,🪑,f
une pute,шлюха (груб.),C'est une vraie <b>pute</b>. (vulgaire),Она настоящая <b>шлюха</b>. (груб.),🤬,f
un but,цель,Mon <b>but</b> est d'apprendre le français.,Моя <b>цель</b> — выучить французский.,🎯,m
"pur, pure","чистый, -ая",C'est de l'eau <b>pure</b>.,Это <b>чистая</b> вода.,💧,adj
un malheur,несчастье,Un <b>malheur</b> est arrivé.,Случилось <b>несчастье</b>.,😢,m
accrocher,вешать; цеплять,<b>Accroche</b> ton manteau ici.,<b>Повесь</b> пальто сюда.,🧥,v
"secret, secrète","секретный, тайный",C'est une information <b>secrète</b>.,Это <b>секретная</b> информация.,🤫,adj
un gamin,мальчишка (разг.),Ce <b>gamin</b> est très intelligent.,Этот <b>мальчишка</b> очень умный.,👦,m
entraîner,тренировать; влечь за собой,Je m'<b>entraîne</b> trois fois par semaine.,Я <b>тренируюсь</b> три раза в неделю.,🏋️,v
"fier, fière","гордый, -ая",Je suis <b>fier</b> de toi.,Я <b>горжусь</b> тобой.,🎖️,adj
un poisson,рыба,J'aime manger du <b>poisson</b>.,Я люблю есть <b>рыбу</b>.,🐟,m
un courage,смелость,Tu as beaucoup de <b>courage</b>.,У тебя много <b>смелости</b>.,🦁,m
"un lieutenant, une lieutenante",лейтенант,Le <b>lieutenant</b> a donné l'ordre.,<b>Лейтенант</b> отдал приказ.,🎖️,m/f
une mission,миссия; задание,J'ai une <b>mission</b> importante.,У меня важная <b>миссия</b>.,🎯,f
riche,богатый,Il est devenu <b>riche</b>.,Он стал <b>богатым</b>.,💰,adj
un soin,забота; уход,Prends <b>soin</b> de toi.,<b>Береги</b> себя.,❤️,m
un danger,опасность,Il y a un <b>danger</b> ici.,Здесь есть <b>опасность</b>.,⚠️,m
ficher,записывать; наплевать (разг.),Je m'en <b>fiche</b>.,Мне <b>всё равно</b>.,🤷,v
repartir,уезжать снова; начинать заново,Je dois <b>repartir</b> demain.,Мне нужно <b>уехать</b> завтра.,🚗,v
une direction,направление; руководство,Dans quelle <b>direction</b> dois-je aller ?,В каком <b>направлении</b> мне идти?,🧭,f
commander,заказывать; командовать,Je vais <b>commander</b> une pizza.,Я <b>закажу</b> пиццу.,🍕,v
un pont,мост,Le <b>pont</b> Jacques-Cartier est magnifique.,Мост Жак-Картье великолепен.,🌉,m
une société,общество; компания,Notre <b>société</b> recherche des employés.,Наша <b>компания</b> ищет сотрудников.,🏢,f
un meilleur,лучший (субст.),Que le <b>meilleur</b> gagne !,Пусть <b>лучший</b> победит!,🏆,m
une chaleur,тепло; жара,Quelle <b>chaleur</b> aujourd'hui !,Какая <b>жара</b> сегодня!,🔥,f
une montagne,гора,Les <b>montagnes</b> sont couvertes de neige.,<b>Горы</b> покрыты снегом.,🏔️,f
un détail,деталь; подробность,Donne-moi plus de <b>détails</b>.,Дай мне больше <b>подробностей</b>.,🔍,m
une page,страница,Tourne la <b>page</b>.,Переверни <b>страницу</b>.,📖,f
un enfer,ад,C'était un véritable <b>enfer</b>.,Это был настоящий <b>ад</b>.,🔥,m
un projet,проект,J'ai un <b>projet</b> intéressant.,У меня есть интересный <b>проект</b>.,📋,m
un marché,рынок,Je vais au <b>marché</b> acheter des légumes.,Я иду на <b>рынок</b> за овощами.,🛒,m
une chanson,песня,Cette <b>chanson</b> est magnifique.,Эта <b>песня</b> великолепна.,🎵,f
un cinéma,кинотеатр; кино,On va au <b>cinéma</b> ce soir ?,Пойдём в <b>кино</b> сегодня вечером?,🎬,m
sombre,тёмный; мрачный,Il fait <b>sombre</b> ici.,Здесь <b>темно</b>.,🌑,adj
calme,спокойный,Reste <b>calme</b>.,Сохраняй <b>спокойствие</b>.,😌,adj
une phrase,фраза,Je n'ai pas compris cette <b>phrase</b>.,Я не понял эту <b>фразу</b>.,💬,f
une ferme,ферма,Mes grands-parents ont une <b>ferme</b>.,У моих бабушки и дедушки есть <b>ферма</b>.,🏡,f
une mademoiselle,девушка; мадемуазель,"<b>Mademoiselle</b>, puis-je vous aider ?","<b>Мадемуазель</b>, могу я вам помочь?",👩,f
remplir,наполнять; заполнять,"<b>Remplis</b> ce formulaire, s'il te plaît.","<b>Заполни</b> эту форму, пожалуйста.",📝,v
un arrière,задняя часть; защитник,L'<b>arrière</b> de la voiture.,<b>Задняя часть</b> машины.,🔙,m
une connerie,глупость (груб.),Arrête de dire des <b>conneries</b> !,Хватит говорить <b>глупости</b>! (груб.),🤦,f
coûter,стоить,<b>Combien</b> ça <b>coûte</b> ?,<b>Сколько</b> это <b>стоит</b>?,💵,v
une pitié,жалость,J'ai <b>pitié</b> de lui.,Мне его <b>жаль</b>.,😢,f
écraser,давить; раздавливать,J'ai <b>écrasé</b> une mouche.,Я <b>раздавил</b> муху.,👟,v
forcer,заставлять; форсировать,Ne me <b>force</b> pas à le faire.,Не <b>заставляй</b> меня это делать.,💪,v
une radio,радио,J'écoute la <b>radio</b> en conduisant.,Я слушаю <b>радио</b> за рулём.,📻,f
un est,восток,Le soleil se lève à l'<b>est</b>.,Солнце встаёт на <b>востоке</b>.,🌅,m
un meurtre,убийство,C'est un <b>meurtre</b> horrible.,Это ужасное <b>убийство</b>.,⚔️,m
un vol,полёт; кража,Le <b>vol</b> dure six heures.,<b>Полёт</b> длится шесть часов.,✈️,m
une note,записка; оценка; нота,J'ai eu une bonne <b>note</b> à l'examen.,Я получил хорошую <b>оценку</b> на экзамене.,📝,f
un ennui,скука; неприятность,J'ai des <b>ennuis</b> au travail.,У меня <b>неприятности</b> на работе.,😐,m
une recherche,поиск; исследование,Je fais des <b>recherches</b> sur l'immigration.,Я провожу <b>исследование</b> об иммиграции.,🔍,f
une herbe,трава,L'<b>herbe</b> est verte au printemps.,<b>Трава</b> зелёная весной.,🌿,f
"court, courte","короткий, -ая",C'est un <b>court</b> trajet en métro.,Это <b>короткая</b> поездка на метро.,📏,adj
"américain, américaine",американский,J'ai un visa <b>américain</b>.,У меня <b>американская</b> виза.,🇺🇸,adj
une trace,след,Il n'y a aucune <b>trace</b> de lui.,Нет никаких <b>следов</b>.,👣,f
un chapeau,шляпа,"Mets ton <b>chapeau</b>, il fait froid.","Надень <b>шапку</b>, холодно.",🎩,m
un contact,контакт,Je garde le <b>contact</b> avec mes amis.,Я поддерживаю <b>контакт</b> с друзьями.,📱,m
une joue,щека,Elle a les <b>joues</b> rouges à cause du froid.,У неё красные <b>щёки</b> от холода.,😊,f
un bordel,бордель; бардак (груб.),C'est quoi ce <b>bordel</b> ?!,Что за <b>бардак</b>?! (груб.),🤬,m
un centre,центр,Le <b>centre</b>-ville de Montréal est animé.,<b>Центр</b> Монреаля оживлённый.,🏙️,m
un combat,бой; борьба,C'est un <b>combat</b> difficile.,Это трудная <b>борьба</b>.,⚔️,m
un fer,железо,Ce portail est en <b>fer</b>.,Эти ворота из <b>железа</b>.,🔩,m
former,формировать; обучать,Cette école <b>forme</b> des ingénieurs.,Эта школа <b>готовит</b> инженеров.,🎓,v
livrer,доставлять,On va <b>livrer</b> la pizza dans trente minutes.,Пиццу <b>доставят</b> через тридцать минут.,📦,v
"profond, profonde","глубокий, -ая",C'est une réflexion <b>profonde</b>.,Это <b>глубокая</b> мысль.,🌊,adj
une règle,правило; линейка,C'est la <b>règle</b> au Canada.,Это <b>правило</b> в Канаде.,📏,f
un salaud,сволочь (груб.),Quel <b>salaud</b> !,Какая <b>сволочь</b>!,😠,m
"exact, exacte","точный, -ая","C'est <b>exact</b>, tu as raison.","<b>Точно</b>, ты прав.",✅,adj
un héros,герой,Il est le <b>héros</b> de cette histoire.,Он <b>герой</b> этой истории.,🦸,m
hésiter,колебаться,N'<b>hésite</b> pas à me demander de l'aide.,Не <b>стесняйся</b> просить о помощи.,🤔,v
un dossier,папка; досье,J'ai tous mes <b>dossiers</b> d'immigration.,У меня все мои иммиграционные <b>документы</b>.,📁,m
"second, seconde","второй, -ая",C'est ma <b>seconde</b> tentative.,Это моя <b>вторая</b> попытка.,2️⃣,adj
virer,увольнять; поворачивать,Il s'est fait <b>virer</b> du travail.,Его <b>уволили</b> с работы.,🚪,v
un métier,профессия; ремесло,Quel est ton <b>métier</b> ?,Какая у тебя <b>профессия</b>?,💼,m
une chaussure,обувь,J'ai acheté de nouvelles <b>chaussures</b>.,Я купил новую <b>обувь</b>.,👟,f
une expérience,опыт; эксперимент,J'ai beaucoup d'<b>expérience</b> dans ce domaine.,У меня много <b>опыта</b> в этой области.,📊,f
marquer,отмечать; забивать (гол),Il a <b>marqué</b> un but.,Он <b>забил</b> гол.,⚽,v
fatiguer,утомлять,Ce travail me <b>fatigue</b>.,Эта работа меня <b>утомляет</b>.,😴,v
un étage,этаж,J'habite au troisième <b>étage</b>.,Я живу на третьем <b>этаже</b>.,🏢,m
proche,близкий,La station de métro est <b>proche</b>.,Станция метро <b>близко</b>.,📍,adj
un voisin,сосед,Mon <b>voisin</b> est très sympa.,Мой <b>сосед</b> очень приятный.,👋,m
une forêt,лес,On va se promener dans la <b>forêt</b>.,Пойдём гулять в <b>лес</b>.,🌲,f
causer,вызывать; болтать,Le froid <b>cause</b> des problèmes.,Холод <b>вызывает</b> проблемы.,💬,v
un toit,крыша,Le <b>toit</b> est couvert de neige.,<b>Крыша</b> покрыта снегом.,🏠,m
une côte,берег; ребро; склон,On longe la <b>côte</b> en voiture.,Мы едем вдоль <b>побережья</b>.,🏖️,f
un allemand,немец,Mon voisin est <b>allemand</b>.,Мой сосед — <b>немец</b>.,🇩🇪,m
un tableau,картина; доска; таблица,Il y a un beau <b>tableau</b> au mur.,На стене красивая <b>картина</b>.,🖼️,m
une relation,отношение; связь,J'ai une bonne <b>relation</b> avec mes collègues.,У меня хорошие <b>отношения</b> с коллегами.,🤝,f
une étoile,звезда,Les <b>étoiles</b> brillent dans le ciel.,<b>Звёзды</b> сияют на небе.,⭐,f
un pote,друг (разг.),C'est mon meilleur <b>pote</b>.,Это мой лучший <b>друг</b>.,👋,m
une réalité,реальность,C'est la <b>réalité</b> de la vie.,Это <b>реальность</b> жизни.,🌍,f
une opération,операция,L'<b>opération</b> s'est bien passée.,<b>Операция</b> прошла хорошо.,🏥,f
éteindre,выключать; тушить,<b>Éteins</b> la lumière avant de partir.,<b>Выключи</b> свет перед уходом.,💡,v
un bar,бар,On se retrouve au <b>bar</b> ce soir ?,Встретимся в <b>баре</b> вечером?,🍺,m
éclater,взрываться; разразиться,Il a <b>éclaté</b> de rire.,Он <b>разразился</b> смехом.,💥,v
un système,система,Le <b>système</b> de santé est bon au Canada.,<b>Система</b> здравоохранения в Канаде хорошая.,⚙️,m
libérer,освобождать,On l'a <b>libéré</b> de prison.,Его <b>освободили</b> из тюрьмы.,🕊️,v
éprouver,испытывать; чувствовать,J'<b>éprouve</b> de la joie.,Я <b>испытываю</b> радость.,❤️,v
un officier,офицер,L'<b>officier</b> a donné l'ordre.,<b>Офицер</b> отдал приказ.,🎖️,m
militaire,военный,C'est une zone <b>militaire</b>.,Это <b>военная</b> зона.,🪖,adj
une importance,важность,C'est d'une grande <b>importance</b>.,Это очень <b>важно</b>.,⭐,f
une condition,условие,Quelles sont les <b>conditions</b> ?,Каковы <b>условия</b>?,📋,f
"présent, présente",присутствующий; настоящий,Je suis <b>présent</b> à la réunion.,Я <b>присутствую</b> на собрании.,✋,adj
une adresse,адрес,Donne-moi ton <b>adresse</b>.,Дай мне свой <b>адрес</b>.,📍,f
une bière,пиво,Tu veux une <b>bière</b> ?,Хочешь <b>пиво</b>?,🍺,f
désirer,желать,Que <b>désirez</b>-vous ?,Что вы <b>желаете</b>?,💫,v
un salon,гостиная; салон,On s'installe dans le <b>salon</b>.,Располагаемся в <b>гостиной</b>.,🛋️,m
magnifique,великолепный,La vue est <b>magnifique</b> !,Вид <b>великолепный</b>!,🌅,adj
apprécier,ценить,J'<b>apprécie</b> ton aide.,Я <b>ценю</b> твою помощь.,🙏,v
une maladie,болезнь,C'est une <b>maladie</b> grave.,Это серьёзная <b>болезнь</b>.,🤒,f
une décision,решение,J'ai pris une <b>décision</b> importante.,Я принял важное <b>решение</b>.,✅,f
plaindre,жаловаться; жалеть,Je te <b>plains</b>.,Мне тебя <b>жаль</b>.,😢,v
taper,печатать; бить,Je <b>tape</b> un courriel.,Я <b>набираю</b> email.,⌨️,v
"merveilleux, merveilleuse",чудесный,C'est une nouvelle <b>merveilleuse</b> !,Это <b>чудесная</b> новость!,✨,adj
une plage,пляж,On va à la <b>plage</b> cet été.,Летом едем на <b>пляж</b>.,🏖️,f
représenter,представлять,Cette photo <b>représente</b> ma famille.,Эта фотография <b>представляет</b> мою семью.,🖼️,v
gauche,левый; левая сторона,Tourne à <b>gauche</b> après le pont.,Поверни <b>налево</b> после моста.,⬅️,adj
une lune,луна,La <b>lune</b> brille ce soir.,<b>Луна</b> светит сегодня вечером.,🌙,f
un témoin,свидетель,Il est <b>témoin</b> de l'accident.,Он <b>свидетель</b> аварии.,👁️,m
plaisanter,шутить,"Je <b>plaisante</b>, ne t'inquiète pas.","Я <b>шучу</b>, не волнуйся.",😄,v
enfermer,запирать,Il s'est <b>enfermé</b> dans sa chambre.,Он <b>заперся</b> в своей комнате.,🔒,v
un hiver,зима,L'<b>hiver</b> au Québec est très froid.,<b>Зима</b> в Квебеке очень холодная.,❄️,m
un idiot,идиот,Ne fais pas l'<b>idiot</b> !,Не будь <b>идиотом</b>!,🤦,m
téléphoner,звонить по телефону,Je vais te <b>téléphoner</b> demain.,Я тебе <b>позвоню</b> завтра.,📞,v
gêner,мешать; смущать,Ça ne te <b>gêne</b> pas ?,Тебе это не <b>мешает</b>?,😳,v
attirer,привлекать,Cette offre m'<b>attire</b>.,Это предложение меня <b>привлекает</b>.,🧲,v
une foi,вера,J'ai <b>foi</b> en l'avenir.,Я <b>верю</b> в будущее.,🙏,f
"général, générale",общий; генеральный,C'est une idée <b>générale</b>.,Это <b>общая</b> идея.,📊,adj
une chair,плоть; мясо,En <b>chair</b> et en os.,Во плоти.,🍖,f
un parti,партия (полит.),Il est membre d'un <b>parti</b> politique.,Он член политической <b>партии</b>.,🏛️,m
se moquer,насмехаться,Ne te <b>moque</b> pas de moi.,Не <b>смейся</b> надо мной.,😏,v
un tort,вина; неправота,Tu as <b>tort</b>.,Ты <b>неправ</b>.,❌,m
une chemise,рубашка,J'ai mis une <b>chemise</b> blanche.,Я надел белую <b>рубашку</b>.,👔,f
"spécial, spéciale",особый; специальный,C'est une occasion <b>spéciale</b>.,Это <b>особый</b> случай.,⭐,adj
un paquet,пакет; посылка,J'ai reçu un <b>paquet</b> par la poste.,Я получил <b>посылку</b> по почте.,📦,m
un spectacle,зрелище; спектакль,On va voir un <b>spectacle</b> ce soir.,Вечером идём на <b>спектакль</b>.,🎭,m
un magasin,магазин,Le <b>magasin</b> ferme à dix-huit heures.,<b>Магазин</b> закрывается в шесть.,🏪,m
un anglais,англичанин,Il parle comme un <b>Anglais</b>.,Он говорит как <b>англичанин</b>.,🇬🇧,m
une position,позиция; положение,Quelle est ta <b>position</b> ?,Какая твоя <b>позиция</b>?,📍,f
Mme,госпожа (сокр.),<b>Mme</b> Dupont est arrivée.,<b>Госпожа</b> Дюпон приехала.,👩,f
un étranger,иностранец,Je suis un <b>étranger</b> ici.,Я здесь <b>иностранец</b>.,🌍,m
une oeuvre,произведение; труд,C'est une <b>œuvre</b> d'art.,Это <b>произведение</b> искусства.,🎨,f
une voie,путь; дорога,C'est la bonne <b>voie</b>.,Это правильный <b>путь</b>.,🛤️,f
habiller,одевать,<b>Habille</b>-toi vite !,<b>Одевайся</b> быстрее!,👔,v
promener,гулять; выгуливать,Je <b>promène</b> mon chien chaque matin.,Я <b>гуляю</b> с собакой каждое утро.,🐕,v
un espace,пространство,Il n'y a pas assez d'<b>espace</b>.,Недостаточно <b>места</b>.,📐,m
un risque,риск,C'est un <b>risque</b> à prendre.,"Это <b>риск</b>, на который стоит пойти.",⚠️,m
construire,строить,On va <b>construire</b> une maison.,Мы <b>построим</b> дом.,🏗️,v
une foule,толпа,Il y avait une <b>foule</b> de gens.,Была <b>толпа</b> людей.,👥,f
un terrain,участок; поле,On a acheté un <b>terrain</b>.,Мы купили <b>участок</b>.,🏞️,m
une enfance,детство,J'ai passé mon <b>enfance</b> en Russie.,Я провёл <b>детство</b> в России.,👶,f
ennuyer,скучать; надоедать,Ce film m'<b>ennuie</b>.,Этот фильм мне <b>скучен</b>.,😐,v
un lait,молоко,Je prends mon café avec du <b>lait</b>.,Я пью кофе с <b>молоком</b>.,🥛,m
considérer,считать; рассматривать,Je <b>considère</b> que c'est une bonne idée.,"Я <b>считаю</b>, что это хорошая идея.",🤔,v
une troupe,труппа; отряд,La <b>troupe</b> de théâtre est excellente.,Театральная <b>труппа</b> отличная.,🎭,f
un sein,грудь,Elle serre l'enfant contre son <b>sein</b>.,Она прижимает ребёнка к <b>груди</b>.,💗,m
allonger,удлинять; вытягивать,<b>Allonge</b>-toi sur le lit.,<b>Ляг</b> на кровать.,🛏️,v
un devoir,долг; домашнее задание,J'ai fait mes <b>devoirs</b>.,Я сделал <b>домашнее задание</b>.,📚,m
inventer,изобретать,Qui a <b>inventé</b> le téléphone ?,Кто <b>изобрёл</b> телефон?,💡,v
"un acteur, une actrice",актёр,C'est un <b>acteur</b> célèbre.,Это известный <b>актёр</b>.,🎬,m/f
chasser,охотиться; прогонять,On va <b>chasser</b> le gibier.,Пойдём <b>охотиться</b> на дичь.,🦌,v
interdire,запрещать,Il est <b>interdit</b> de fumer ici.,Здесь <b>запрещено</b> курить.,🚫,v
"national, nationale",национальный,C'est un jour <b>national</b>.,Это <b>национальный</b> праздник.,🏛️,adj
une banque,банк,Je vais à la <b>banque</b>.,Я иду в <b>банк</b>.,🏦,f
une conscience,совесть; сознание,J'ai la <b>conscience</b> tranquille.,У меня <b>совесть</b> чиста.,💭,f
soulever,поднимать,"<b>Soulève</b> cette caisse, s'il te plaît.","<b>Подними</b> этот ящик, пожалуйста.",💪,v
presser,давить; торопить,Le temps <b>presse</b>.,Время <b>поджимает</b>.,⏰,v
un repas,еда; приём пищи,Le <b>repas</b> est prêt.,<b>Еда</b> готова.,🍽️,m
un membre,член; конечность,Je suis <b>membre</b> de ce club.,Я <b>член</b> этого клуба.,👥,m
signifier,означать,Que <b>signifie</b> ce mot ?,Что <b>означает</b> это слово?,❓,v
demeurer,оставаться; проживать,Je <b>demeure</b> à Montréal.,Я <b>проживаю</b> в Монреале.,🏠,v
"excellent, excellente",отличный,C'est un <b>excellent</b> restaurant.,Это <b>отличный</b> ресторан.,⭐,adj
"allemand, allemande",немецкий,J'apprends l'<b>allemand</b>.,Я учу <b>немецкий</b>.,🇩🇪,adj
un thé,чай,Tu veux un <b>thé</b> chaud ?,Хочешь горячий <b>чай</b>?,🍵,m
un couloir,коридор,Le bureau est au bout du <b>couloir</b>.,Офис в конце <b>коридора</b>.,🚪,m
entourer,окружать,Les montagnes <b>entourent</b> la ville.,Горы <b>окружают</b> город.,🏔️,v
rapporter,приносить; докладывать,<b>Rapporte</b>-moi ce livre.,<b>Принеси</b> мне эту книгу.,📚,v
un nord,север,Le Québec est au <b>nord</b> des États-Unis.,Квебек на <b>севере</b> США.,🧭,m
pleuvoir,идти (о дожде),Il va <b>pleuvoir</b> demain.,Завтра будет <b>дождь</b>.,🌧️,v
une gare,вокзал,Le train part de la <b>gare</b> centrale.,Поезд отправляется с <b>центрального вокзала</b>.,🚉,f
reculer,отступать,<b>Recule</b> un peu.,<b>Отойди</b> немного.,↩️,v
une sortie,выход,La <b>sortie</b> est par là.,<b>Выход</b> там.,🚪,f
une valise,чемодан,J'ai fait ma <b>valise</b>.,Я собрал <b>чемодан</b>.,🧳,f
un destin,судьба,C'est mon <b>destin</b>.,Это моя <b>судьба</b>.,⭐,m
un ange,ангел,Tu es un <b>ange</b> !,Ты <b>ангел</b>!,😇,m
posséder,владеть,Il <b>possède</b> une grande maison.,Он <b>владеет</b> большим домом.,🏠,v
accorder,предоставлять; настраивать,On m'a <b>accordé</b> un visa.,Мне <b>предоставили</b> визу.,✅,v
nécessaire,необходимый,C'est <b>nécessaire</b> pour l'immigration.,Это <b>необходимо</b> для иммиграции.,📋,adj
un secours,помощь; спасение,Au <b>secours</b> !,На <b>помощь</b>!,🆘,m
une pomme,яблоко,Je mange une <b>pomme</b> chaque jour.,Я ем <b>яблоко</b> каждый день.,🍎,f
récupérer,восстанавливать; забирать,Je dois <b>récupérer</b> mes affaires.,Мне нужно <b>забрать</b> свои вещи.,📦,v
une volonté,воля,C'est une question de <b>volonté</b>.,Это вопрос <b>воли</b>.,💪,f
endormir,усыплять,La musique m'<b>endort</b>.,Музыка меня <b>усыпляет</b>.,😴,v
une intention,намерение,J'ai l'<b>intention</b> de rester au Canada.,Я <b>намерен</b> остаться в Канаде.,🎯,f
trembler,дрожать,Je <b>tremble</b> de froid.,Я <b>дрожу</b> от холода.,❄️,v
rapide,быстрый,C'est un train <b>rapide</b>.,Это <b>скоростной</b> поезд.,⚡,adj
secouer,трясти,Ne <b>secoue</b> pas la bouteille.,Не <b>тряси</b> бутылку.,🔄,v
étendre,растягивать; расширять,<b>Étends</b> le linge dehors.,<b>Развесь</b> бельё на улице.,👔,v
un époux,супруг,Mon <b>époux</b> est au travail.,Мой <b>супруг</b> на работе.,💍,m
briser,разбивать,Il a <b>brisé</b> le verre.,Он <b>разбил</b> стакан.,💔,v
une bonne,служанка; хорошая,La <b>bonne</b> a fait le ménage.,<b>Служанка</b> убралась.,👩‍🍳,f
"idiot, idiote","глупый, -ая",C'est une idée <b>idiote</b>.,Это <b>глупая</b> идея.,🙄,adj
un juge,судья,Le <b>juge</b> a rendu son verdict.,<b>Судья</b> вынес приговор.,⚖️,m
une poitrine,грудь (грудная клетка),J'ai mal à la <b>poitrine</b>.,У меня болит <b>грудь</b>.,💔,f
adresser,адресовать; обращаться,Je m'<b>adresse</b> à vous.,Я <b>обращаюсь</b> к вам.,💬,v
une arrivée,прибытие,L'<b>arrivée</b> du train est prévue à dix heures.,<b>Прибытие</b> поезда ожидается в десять.,🚆,f
produire,производить,Cette usine <b>produit</b> des voitures.,Этот завод <b>производит</b> машины.,🏭,v
rater,провалить; пропустить,J'ai <b>raté</b> mon examen.,Я <b>провалил</b> экзамен.,❌,v
nourrir,кормить,Je dois <b>nourrir</b> le chat.,Мне нужно <b>покормить</b> кота.,🐱,v
un ministre,министр,Le <b>ministre</b> a fait une annonce.,<b>Министр</b> сделал объявление.,🏛️,m/f
réaliser,реализовывать; осознавать,J'ai <b>réalisé</b> mon rêve.,Я <b>осуществил</b> свою мечту.,✨,v
dépasser,превышать; обгонять,Tu as <b>dépassé</b> la limite de vitesse.,Ты <b>превысил</b> скорость.,🚗,v
un blanc,белый (человек); пробел,Les <b>blancs</b> et les noirs.,<b>Белые</b> и чёрные.,🤍,m
