French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
repentir,раскаиваться,Se <b>repentir</b> de ses péchés.,<b>Раскаиваться</b> в грехах.,😔,v
impeccable,безупречный,Un travail <b>impeccable</b>.,<b>Безупречная</b> работа.,✨,adj
sordide,грязный,Une affaire <b>sordide</b>.,<b>Грязное</b> дело.,🤢,adj
louche,подозрительный,Un type <b>louche</b>.,<b>Подозрительный</b> тип.,🤨,adj
une réparation,ремонт,Une <b>réparation</b> urgente.,Срочный <b>ремонт</b>.,🔧,f
blâmer,винить,<b>Blâmer</b> quelqu'un.,<b>Винить</b> кого-то.,👆,v
un comédien,комедиант,Un <b>comédien</b> talentueux.,Талантливый <b>актёр</b>.,🎭,m
croquer,хрустеть,<b>Croquer</b> une pomme.,<b>Хрустеть</b> яблоком.,🍎,v
un ya,йогурт (разг.),Je mange un <b>ya</b>.,Я ем <b>йогурт</b>.,🥛,m
un zinc,цинк; барная стойка,Accoudé au <b>zinc</b>.,Облокотившись на <b>стойку</b>.,🍺,m
un rez-de-chaussée,первый этаж,Habiter au <b>rez-de-chaussée</b>.,Жить на <b>первом этаже</b>.,🏠,m
automatique,автоматический,Une porte <b>automatique</b>.,<b>Автоматическая</b> дверь.,🚪,adj
"forcé, forcée",вынужденный,Un sourire <b>forcé</b>.,<b>Вынужденная</b> улыбка.,😅,adj
un transfert,трансфер,Un <b>transfert</b> bancaire.,Банковский <b>перевод</b>.,💸,m
raidir,напрягать,<b>Raidir</b> les muscles.,<b>Напрячь</b> мышцы.,💪,v
une proximité,близость,À <b>proximité</b> de la gare.,<b>Рядом</b> с вокзалом.,📍,f
un projecteur,прожектор,Un <b>projecteur</b> de cinéma.,Кино<b>проектор</b>.,🎬,m
une rêverie,мечтательность,Perdu dans ses <b>rêveries</b>.,Погружённый в <b>мечты</b>.,💭,f
encercler,окружать,<b>Encercler</b> l'ennemi.,<b>Окружить</b> врага.,⭕,v
socialiste,социалистический,Un parti <b>socialiste</b>.,<b>Социалистическая</b> партия.,🚩,adj
un châtiment,наказание,Un <b>châtiment</b> sévère.,Суровое <b>наказание</b>.,⚖️,m
"passionnant, passionnante",увлекательный,Un livre <b>passionnant</b>.,<b>Увлекательная</b> книга.,📚,adj
une caverne,пещера,Une <b>caverne</b> sombre.,Тёмная <b>пещера</b>.,🦇,f
un chantage,шантаж,Faire du <b>chantage</b>.,<b>Шантажировать</b>.,🤫,m
"chanceux, chanceuse",везучий,Tu es <b>chanceux</b>.,Тебе <b>повезло</b>.,🍀,adj
prédire,предсказывать,<b>Prédire</b> l'avenir.,<b>Предсказывать</b> будущее.,🔮,v
un lacet,шнурок,Nouer ses <b>lacets</b>.,Завязать <b>шнурки</b>.,👟,m
un pic,пик,Le <b>pic</b> de la montagne.,<b>Пик</b> горы.,🏔️,m
une intrigue,интрига,Une <b>intrigue</b> complexe.,Сложная <b>интрига</b>.,🎭,f
une impuissance,бессилие,Un sentiment d'<b>impuissance</b>.,Чувство <b>бессилия</b>.,😔,f
cinquième,пятый,Le <b>cinquième</b> étage.,<b>Пятый</b> этаж.,5️⃣,adj
"souterrain, souterraine",подземный,Un passage <b>souterrain</b>.,<b>Подземный</b> переход.,🚇,adj
chimique,химический,Une réaction <b>chimique</b>.,<b>Химическая</b> реакция.,🧪,adj
"résolu, résolue",решительный,Un homme <b>résolu</b>.,<b>Решительный</b> человек.,💪,adj
une potion,зелье,Une <b>potion</b> magique.,Волшебное <b>зелье</b>.,🧪,f
une jument,кобыла,Une belle <b>jument</b>.,Красивая <b>кобыла</b>.,🐴,f
imprégner,пропитывать,<b>Imprégner</b> le tissu.,<b>Пропитать</b> ткань.,💧,v
un autre,другой (субст.),L'<b>autre</b> est parti.,<b>Другой</b> ушёл.,👤,m
argent,серебряный,Une bague en <b>argent</b>.,<b>Серебряное</b> кольцо.,💍,adj
ruisseler,струиться,L'eau <b>ruisselle</b>.,Вода <b>струится</b>.,💦,v
un petit-déjeuner,завтрак,Prendre le <b>petit-déjeuner</b>.,<b>Завтракать</b>.,🍳,m
râler,ворчать,Arrête de <b>râler</b>.,Хватит <b>ворчать</b>.,😤,v
une mafia,мафия,La <b>mafia</b> sicilienne.,Сицилийская <b>мафия</b>.,🤵,f
lover,свёртывать; сворачиваться,Se <b>lover</b> dans le canapé.,<b>Свернуться</b> на диване.,🐍,v
un dortoir,общежитие,Dormir au <b>dortoir</b>.,Спать в <b>общежитии</b>.,🛏️,m
une chandelle,свеча,Une <b>chandelle</b> allumée.,Зажжённая <b>свеча</b>.,🕯️,f
une suggestion,предложение,Une bonne <b>suggestion</b>.,Хорошее <b>предложение</b>.,💡,f
"africain, africaine",африканский,La culture <b>africaine</b>.,<b>Африканская</b> культура.,🌍,adj
une ferraille,металлолом,Un tas de <b>ferraille</b>.,Куча <b>металлолома</b>.,🔩,f
une opportunité,возможность,Une belle <b>opportunité</b>.,Прекрасная <b>возможность</b>.,🎯,f
un ciné,кино (разг.),Aller au <b>ciné</b>.,Идти в <b>кино</b>.,🎬,m
une licence,лицензия,Une <b>licence</b> de conduire.,Водительские <b>права</b>.,📜,f
blanchir,отбеливать,<b>Blanchir</b> le linge.,<b>Отбелить</b> бельё.,🧺,v
une tartine,бутерброд,Une <b>tartine</b> de confiture.,<b>Бутерброд</b> с вареньем.,🍞,f
solaire,солнечный,Un panneau <b>solaire</b>.,<b>Солнечная</b> панель.,☀️,adj
subsister,существовать,<b>Subsister</b> avec peu.,<b>Выживать</b> с малым.,💪,v
répliquer,возражать,<b>Répliquer</b> avec ironie.,<b>Возразить</b> с иронией.,💬,v
une présentation,презентация,Une <b>présentation</b> PowerPoint.,<b>Презентация</b> PowerPoint.,📊,f
gouverner,управлять; править,C'est difficile de <b>gouverner</b> un pays.,<b>Управлять</b> страной сложно.,🏛️,v
une collaboration,сотрудничество,Une <b>collaboration</b> fructueuse.,Плодотворное <b>сотрудничество</b>.,🤝,f
souper,ужинать,<b>Souper</b> en famille.,<b>Ужинать</b> в семье.,🍽️,v
une secousse,толчок,Une <b>secousse</b> sismique.,Сейсмический <b>толчок</b>.,🌋,f
un perron,крыльцо,Sur le <b>perron</b> de la maison.,На <b>крыльце</b> дома.,🏠,m
broder,вышивать,<b>Broder</b> une nappe.,<b>Вышивать</b> скатерть.,🧵,v
une coque,корпус,La <b>coque</b> du navire.,<b>Корпус</b> корабля.,🚢,f
"chaleureux, chaleureuse",тёплый,Un accueil <b>chaleureux</b>.,<b>Тёплый</b> приём.,🤗,adj
un fantasme,фантазия,Un <b>fantasme</b> récurrent.,Повторяющаяся <b>фантазия</b>.,💭,m
égoïste,эгоистичный,Un comportement <b>égoïste</b>.,<b>Эгоистичное</b> поведение.,😤,adj
une audition,прослушивание,Passer une <b>audition</b>.,Пройти <b>прослушивание</b>.,🎤,f
un partisan,сторонник,Un <b>partisan</b> du changement.,<b>Сторонник</b> перемен.,✊,m
une application,приложение,Une <b>application</b> mobile.,Мобильное <b>приложение</b>.,📱,f
"mourant, mourante",умирающий,Un homme <b>mourant</b>.,<b>Умирающий</b> человек.,😢,adj
un embarras,затруднение,Un <b>embarras</b> financier.,Финансовые <b>затруднения</b>.,💸,m
un poker,покер,Jouer au <b>poker</b>.,Играть в <b>покер</b>.,🃏,m
"inouï, inouïe",неслыханный,Un succès <b>inouï</b>.,<b>Неслыханный</b> успех.,🤯,adj
un cordon,шнур,Un <b>cordon</b> de police.,Полицейское <b>оцепление</b>.,👮,m
un torrent,поток,Un <b>torrent</b> de montagne.,Горный <b>поток</b>.,🌊,m
une indulgence,снисходительность,Avec <b>indulgence</b>.,Со <b>снисходительностью</b>.,😊,f
"soucieux, soucieuse",озабоченный,Un air <b>soucieux</b>.,<b>Озабоченный</b> вид.,😟,adj
"convaincu, convaincue",убеждённый,Je suis <b>convaincu</b>.,Я <b>убеждён</b>.,✅,adj
"successif, successive",последовательный,Trois jours <b>successifs</b>.,Три <b>последовательных</b> дня.,📅,adj
un jean,джинсы,Un <b>jean</b> bleu.,Синие <b>джинсы</b>.,👖,m
une distraction,развлечение,Une <b>distraction</b> agréable.,Приятное <b>развлечение</b>.,🎮,f
"meurtrier, meurtrière",смертоносный,Une arme <b>meurtrière</b>.,<b>Смертоносное</b> оружие.,💀,adj
trébucher,спотыкаться,<b>Trébucher</b> sur une pierre.,<b>Споткнуться</b> о камень.,🦵,v
une touffe,пучок,Une <b>touffe</b> d'herbe.,<b>Пучок</b> травы.,🌿,f
un original,оригинал; чудак,C'est un <b>original</b>.,Он <b>чудак</b>.,🎭,m
un bétail,скот,Le <b>bétail</b> dans le pré.,<b>Скот</b> на лугу.,🐄,m
une sérénité,безмятежность,Une grande <b>sérénité</b>.,Большая <b>безмятежность</b>.,😌,f
un gitan,цыган,Les <b>gitans</b> voyagent.,<b>Цыгане</b> путешествуют.,🎸,m
un bazar,базар; беспорядок,Quel <b>bazar</b> !,Какой <b>бардак</b>!,🤯,m
emprisonner,заключать,<b>Emprisonner</b> un criminel.,<b>Заключить</b> преступника.,🔒,v
inciter,побуждать,<b>Inciter</b> à la violence.,<b>Побуждать</b> к насилию.,📢,v
un verrou,засов,Fermer le <b>verrou</b>.,Закрыть <b>засов</b>.,🔐,m
une brise,бриз,Une douce <b>brise</b>.,Лёгкий <b>бриз</b>.,🌬️,f
une monture,оправа; верховое животное,Une <b>monture</b> de lunettes.,<b>Оправа</b> очков.,👓,f
un cadet,младший (ребёнок),C'est le <b>cadet</b> de la famille.,Это <b>младший</b> в семье.,👶,m
"pieux, pieuse",набожный,Une femme <b>pieuse</b>.,<b>Набожная</b> женщина.,🙏,adj
un préféré,любимец,C'est mon <b>préféré</b>.,Это мой <b>любимец</b>.,⭐,m
espionner,шпионить,<b>Espionner</b> quelqu'un.,<b>Шпионить</b> за кем-то.,🕵️,v
une bouchée,кусок,Une <b>bouchée</b> de pain.,<b>Кусок</b> хлеба.,🍞,f
une autopsie,вскрытие,Pratiquer une <b>autopsie</b>.,Провести <b>вскрытие</b>.,🏥,f
escorter,сопровождать,<b>Escorter</b> le président.,<b>Сопровождать</b> президента.,🚗,v
piller,грабить,<b>Piller</b> un magasin.,<b>Грабить</b> магазин.,💰,v
insensible,бесчувственный,Un cœur <b>insensible</b>.,<b>Бесчувственное</b> сердце.,❄️,adj
mobile,подвижный,Un téléphone <b>mobile</b>.,<b>Мобильный</b> телефон.,📱,adj
un applaudissement,аплодисменты,Des <b>applaudissements</b> nourris.,Бурные <b>аплодисменты</b>.,👏,m
un comté,графство,Le <b>comté</b> de Yorkshire.,<b>Графство</b> Йоркшир.,🏰,m
imprévisible,непредсказуемый,Un comportement <b>imprévisible</b>.,<b>Непредсказуемое</b> поведение.,🎲,adj
un bail,аренда,Signer un <b>bail</b>.,Подписать <b>договор аренды</b>.,📝,m
un privé,частный детектив,Engager un <b>privé</b>.,Нанять <b>частного детектива</b>.,🕵️,m
mâcher,жевать,<b>Mâcher</b> du chewing-gum.,<b>Жевать</b> жвачку.,🫦,v
un mythe,миф,Un <b>mythe</b> grec.,Греческий <b>миф</b>.,🏛️,m
une gratitude,благодарность,Exprimer sa <b>gratitude</b>.,Выразить <b>благодарность</b>.,🙏,f
une chirurgie,хирургия,Une <b>chirurgie</b> cardiaque.,Сердечная <b>хирургия</b>.,🏥,f
un préfet,префект,Le <b>préfet</b> de police.,<b>Префект</b> полиции.,👮,m
déprimer,угнетать,Ça me <b>déprime</b>.,Это меня <b>угнетает</b>.,😔,v
une nausée,тошнота,Avoir des <b>nausées</b>.,Испытывать <b>тошноту</b>.,🤢,f
obscène,непристойный,Un geste <b>obscène</b>.,<b>Непристойный</b> жест.,🙈,adj
une moue,гримаса,Faire la <b>moue</b>.,Надуть <b>губы</b>.,😤,f
consumer,поглощать,Se <b>consumer</b> de chagrin.,<b>Сгорать</b> от горя.,🔥,v
une préparation,подготовка,La <b>préparation</b> du dîner.,<b>Подготовка</b> ужина.,👨‍🍳,f
modèle,образцовый,Un élève <b>modèle</b>.,<b>Образцовый</b> ученик.,⭐,adj
"opposé, opposée",противоположный,L'avis <b>opposé</b>.,<b>Противоположное</b> мнение.,↔️,adj
"inoffensif, inoffensive",безобидный,Un animal <b>inoffensif</b>.,<b>Безобидное</b> животное.,🐰,adj
"épuisé, épuisée",измождённый,Je suis <b>épuisé</b>.,Я <b>измождён</b>.,😩,adj
un principal,директор; главное,Le <b>principal</b> du collège.,<b>Директор</b> колледжа.,👨‍💼,m
un capital,капитал,Un <b>capital</b> important.,Крупный <b>капитал</b>.,💰,m
chauve,лысый,Un homme <b>chauve</b>.,<b>Лысый</b> мужчина.,👨‍🦲,adj
une clôture,забор,Une <b>clôture</b> en bois.,Деревянный <b>забор</b>.,🏡,f
une besogne,работа,Une dure <b>besogne</b>.,Тяжёлая <b>работа</b>.,💪,f
tripoter,щупать,<b>Tripoter</b> ses clés.,<b>Вертеть</b> ключи.,🔑,v
stable,стабильный,Une situation <b>stable</b>.,<b>Стабильная</b> ситуация.,📊,adj
susceptible,обидчивый,Il est très <b>susceptible</b>.,Он очень <b>обидчивый</b>.,😤,adj
une épicerie,бакалея,Une <b>épicerie</b> fine.,Деликатесный <b>магазин</b>.,🏪,f
un pétrin,переделка,Être dans le <b>pétrin</b>.,Быть в <b>переделке</b>.,😰,m
une toux,кашель,Une <b>toux</b> persistante.,Постоянный <b>кашель</b>.,🤧,f
"glacial, glaciale",ледяной,Un vent <b>glacial</b>.,<b>Ледяной</b> ветер.,🥶,adj
"effrayé, effrayée",испуганный,Un regard <b>effrayé</b>.,<b>Испуганный</b> взгляд.,😨,adj
une montée,подъём,La <b>montée</b> des escaliers.,<b>Подъём</b> по лестнице.,📈,f
une écume,пена,L'<b>écume</b> des vagues.,<b>Пена</b> волн.,🌊,f
vulnérable,уязвимый,Un point <b>vulnérable</b>.,<b>Уязвимая</b> точка.,😟,adj
une musette,волынка; сумка,La <b>musette</b> du soldat.,<b>Сумка</b> солдата.,🎒,f
"poussiéreux, poussiéreuse",пыльный,Une route <b>poussiéreuse</b>.,<b>Пыльная</b> дорога.,🛤️,adj
