French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
"Qui ne risque rien, n'a rien.","Кто не рискует, тот не пьёт шампанского.",expr,"Lance-toi ! <b>Qui ne risque rien n'a rien</b>.","Попробуй! <b>Кто не рискует, тот не пьёт шампанского</b>.",Proverbe. О необходимости рисковать.,🎲🏆
"Rira bien qui rira le dernier.","Хорошо смеётся тот, кто смеётся последним.",expr,"Ne te moque pas trop vite, <b>rira bien qui rira le dernier</b>.","Не смейся слишком рано, <b>хорошо смеётся тот, кто смеётся последним</b>.",Proverbe. О конечном результате.,😂🏁
"Il faut battre le fer tant qu'il est chaud.","Куй железо, пока горячо.",expr,"C'est le moment ! <b>Il faut battre le fer tant qu'il est chaud</b>.","Сейчас самое время! <b>Куй железо, пока горячо</b>.",Proverbe. О своевременности действий.,🔨🔥
Qui vivra verra.,Поживём — увидим.,expr,"On ne sait pas ce qui arrivera, <b>qui vivra verra</b>.","Неизвестно, что будет, <b>поживём — увидим</b>.",Proverbe. О неопределённости будущего.,🔮⏳
"Tel père, tel fils.","Каков отец, таков и сын.",expr,"Il est médecin comme son père, <b>tel père, tel fils</b>.","Он врач, как и его отец, <b>каков отец, таков и сын</b>.",Proverbe. О наследственности.,👨‍👦
Toute vérité n'est pas bonne à dire.,Не всякую правду сказывай.,expr,"Parfois il vaut mieux se taire, <b>toute vérité n'est pas bonne à dire</b>.","Иногда лучше промолчать, <b>не всякую правду сказывай</b>.",Proverbe. О тактичности.,🤫
"Pas de nouvelles, bonnes nouvelles.",Отсутствие новостей — хорошая новость.,expr,"Il n'appelle pas ? <b>Pas de nouvelles, bonnes nouvelles</b>.","Он не звонит? <b>Отсутствие новостей — хорошая новость</b>.",Proverbe. Молчание — хороший знак.,📵😊
Mieux vaut être seul que mal accompagné.,"Лучше быть одному, чем в плохой компании.",expr,"Je préfère rester chez moi, <b>mieux vaut être seul que mal accompagné</b>.","Лучше останусь дома, <b>лучше быть одному, чем в плохой компании</b>.",Proverbe. О выборе окружения.,🚶‍♂️👋
"La parole est d'argent, le silence est d'or.","Слово — серебро, молчание — золото.",expr,"Parfois il vaut mieux se taire, <b>la parole est d'argent, le silence est d'or</b>.","Иногда лучше промолчать, <b>слово — серебро, молчание — золото</b>.",Proverbe. О ценности молчания.,🗣️🤐
Les murs ont des oreilles.,И у стен есть уши.,expr,"Parle moins fort, <b>les murs ont des oreilles</b>.","Говори тише, <b>и у стен есть уши</b>.",Proverbe. О том что могут подслушать.,🧱👂
"Chose promise, chose due.","Давши слово — держи.",expr,"Tu as promis, <b>chose promise, chose due</b>.","Ты обещал, <b>давши слово — держи</b>.",Proverbe. Дословно: обещанное — должное. Об обязательности обещаний.,🤝✅
Chacun voit midi à sa porte.,Своя рубашка ближе к телу.,expr,"Il défend ses intérêts, <b>chacun voit midi à sa porte</b>.","Он защищает свои интересы, <b>своя рубашка ближе к телу</b>.",Proverbe. О субъективности взглядов.,🚪☀️
Il n'est pire sourd que celui qui ne veut pas entendre.,"Нет хуже глухого, чем тот кто не хочет слышать.",expr,"J'ai beau lui expliquer, <b>il n'est pire sourd que celui qui ne veut pas entendre</b>.","Сколько ни объясняй, <b>нет хуже глухого, чем тот, кто не хочет слышать</b>.",Proverbe. О нежелании понимать.,👂🙉
Bien mal acquis ne profite jamais.,Чужое добро впрок не идёт.,expr,"Il a volé et tout perdu, <b>bien mal acquis ne profite jamais</b>.","Он украл и всё потерял, <b>чужое добро впрок не идёт</b>.",Proverbe. О нечестно нажитом.,💰❌
"À père avare, fils prodigue.",У скупого отца расточительный сын.,expr,"Son père économisait, lui dépense tout : <b>à père avare, fils prodigue</b>.","Отец копил, а он всё тратит: <b>у скупого отца расточительный сын</b>.",Proverbe. О контрасте поколений.,💵👨‍👦
